file	frontend/components/exam/reading-exam-preview.tsx
component	ReadingExamPreview
start	996
end	5265

index	kind	start	end	lines	names	local_refs	all_refs
96	effect	1527	1535	9		isStrictListeningExam,isSubmitted,setStrictListeningPhase,strictListeningPhase,strictListeningTransferLeft,submitAttempt	isStrictListeningExam,isSubmitted,setStrictListeningPhase,strictListeningPhase,strictListeningTransferLeft,submitAttempt,useEffect
97	effect	1537	1551	15		activeDialog,fullscreenDialogStage,fullscreenExitCountdown,isSubmitting,setFullscreenExitCountdown,submitAttempt	activeDialog,fullscreenDialogStage,fullscreenExitCountdown,isSubmitting,setFullscreenExitCountdown,submitAttempt,useEffect,window
98	memo	1553	1556	4	answeredCount	allQuestions,answers	allQuestions,answeredQuestionWeight,answers,useMemo
99	memo	1557	1560	4	totalQuestions	allQuestions	allQuestions,isMcqMultiple,mcMultipleQuestionWeight,useMemo
100	memo	1561	1564	4	currentAnsweredCount	answers,currentQuestions	answeredQuestionWeight,answers,currentQuestions,useMemo
101	memo	1565	1568	4	currentTotalQuestions	currentQuestions	currentQuestions,isMcqMultiple,mcMultipleQuestionWeight,useMemo
102	memo	1569	1591	23	matchingInformationParagraphOptions	examData	Map,Set,examData,useMemo
103	memo	1592	1609	18	matchingHeadingTargets	examData	Map,PreviewGroup,PreviewQuestion,examData,paragraphLabelFromPrompt,useMemo
104	memo	1610	1634	25	matchingHeadingExamples	examData	Map,examData,groupId,label,prefix,splitOptionLines,text,typedOptionView,useMemo,value
105	memo	1635	1655	21	headingOptionLookup	examData	Map,examData,label,prefix,splitOptionLines,text,typedOptionView,useMemo,value
106	derived	1656	1656	1	unansweredCount	answeredCount,totalQuestions	answeredCount,totalQuestions
107	derived	1657	1657	1	isLastFiveMinutes	isExamMode,timeLeft	isExamMode,timeLeft
108	derived	1658	1658	1	isLastMinute	isExamMode,timeLeft	isExamMode,timeLeft
109	derived	1659	1659	1	effectiveFontScale	fontScale	fontScale
110	derived	1660	1660	1	bodyFontSize	effectiveFontScale	effectiveFontScale
111	derived	1661	1665	5	timerDisplay	isExamMode,isLastFiveMinutes,timeLeft	formatCountdown,formatMinutesLeft,isExamMode,isLastFiveMinutes,timeLeft
112	derived	1666	1666	1	strictListeningTimerDisplay	strictListeningTransferLeft	formatCountdown,strictListeningTransferLeft
113	derived	1667	1671	5	strictListeningAutoPlayDelayMs	isStrictListeningExam,strictListeningCompletedAudioRef,strictListeningPhase	Object,isStrictListeningExam,strictListeningCompletedAudioRef,strictListeningPhase
114	derived	1672	1672	1	showStrictListeningTransferTimer	isStrictListeningExam,strictListeningPhase	isStrictListeningExam,strictListeningPhase
115	derived	1673	1673	1	submitDisabled	isStrictListeningExam,isSubmitted,isSubmitting,strictListeningPhase	isStrictListeningExam,isSubmitted,isSubmitting,strictListeningPhase
116	derived	1674	1676	3	inputFocusClass	theme	theme
117	derived	1677	1679	3	activeInputClass	theme	theme
118	derived	1680	1682	3	answerNumberBadgeClassName	theme	theme
119	derived	1683	1684	2	inlineAnswerFieldClassName		
120	derived	1685	1686	2	inlineAnswerPlaceholderClassName		
121	derived	1687	1687	1	inlineRowControlClassName		
122	derived	1688	1691	4	layoutStyle	splitRatio	CSSProperties,splitRatio
123	derived	1692	1704	13	examToneStyle	theme	CSSProperties,theme
124	derived	1705	1705	1	attemptBackupKey	examData	examData
125	function	1707	1729	23	readAttemptBackup	answers,attemptBackupKey,textHighlights	JSON,PreviewUiState,Record,TextHighlight,answers,attemptBackupKey,sectionTimeSpentSec,textHighlights,timeSpentSec,uiState,updatedAt,window
126	function	1731	1747	17	writeAttemptBackup	attemptBackupKey,isReviewMode,isSubmitted,latestAnswersRef,latestProgressRef,refreshLatestProgressSnapshot	Date,JSON,attemptBackupKey,isReviewMode,isSubmitted,latestAnswersRef,latestProgressRef,refreshLatestProgressSnapshot,window
127	function	1749	1756	8	clearAttemptBackup	attemptBackupKey	attemptBackupKey,window
128	effect	1758	1762	5		activeQuestionId,allQuestions,setActiveQuestionId	activeQuestionId,allQuestions,setActiveQuestionId,useEffect
129	effect	1764	1768	5		activeSectionId,previewSections,setActiveSectionId	activeSectionId,previewSections,setActiveSectionId,useEffect
130	effect	1770	1778	9		activeSectionTimerRef,examData,flushActiveSectionTime,isReviewMode,isSubmitted,resetActiveSectionTimer,timedSectionId	activeSectionTimerRef,examData,flushActiveSectionTime,isReviewMode,isSubmitted,mode,resetActiveSectionTimer,timedSectionId,useEffect
131	function	1780	1782	3	markSyncSaved	setSyncState	setSyncState
132	function	1784	1786	3	markSyncError	setSyncState	setSyncState
133	function	1788	1791	4	resetWallClockTimer	timerBaseSpentSecondsRef,timerBaseStartedAtMsRef	Date,Math,timerBaseSpentSecondsRef,timerBaseStartedAtMsRef
134	function	1793	1800	8	wallClockTimeSpentSeconds	examData,timerBaseSpentSecondsRef,timerBaseStartedAtMsRef	Date,Math,examData,mode,timerBaseSpentSecondsRef,timerBaseStartedAtMsRef
